date,time,initials,tank,WQ.type,measurement,notes
1/17/2022,12:30:00 PM,DMBP,quarantine,light,89,tanks cleaned and Perrick made new flow
1/17/2022,12:30:00 PM,DMBP,quarantine,light,91,
1/17/2022,12:30:00 PM,DMBP,quarantine,light,75,
1/17/2022,12:30:00 PM,DMBP,quarantine,light,71,
1/17/2022,12:30:00 PM,DMBP,quarantine,temp,23.88,
1/17/2022,12:30:00 PM,DMBP,quarantine,sal.psu,34.12,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,light,71,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,light,68,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,light,54,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,light,55,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,light,68,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,light,70,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,light,48,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,light,51,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,temp,25.91,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,temp,25.91,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,sal.psu,36.62,
1/17/2022,12:30:00 PM,DMBP,blue tank 1,sal.psu,36.57,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,light,50,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,light,52,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,light,72,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,light,61,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,light,60,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,light,79,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,light,56,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,light,51,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,temp,25.95,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,temp,25.91,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,sal.psu,36.53,
1/17/2022,12:30:00 PM,DMBP,blue tank 2,sal.psu,36.54,
1/18/2022,12:30:00 PM,DMBP,quarantine,light,99,changed orion and apogee batteries
1/18/2022,12:30:00 PM,DMBP,quarantine,light,100,"adjusted salinity, added more DI"
1/18/2022,12:30:00 PM,DMBP,quarantine,light,101,
1/18/2022,12:30:00 PM,DMBP,quarantine,light,102,
1/18/2022,12:30:00 PM,DMBP,quarantine,temp,24.14,
1/18/2022,12:30:00 PM,DMBP,quarantine,sal.psu,34.24,
1/18/2022,12:30:00 PM,DMBP,quarantine,TA,2004.958319,
1/18/2022,12:30:00 PM,DMBP,quarantine,TA,2011.455448,
1/18/2022,12:30:00 PM,DMBP,blue tank 1,light,71,
1/18/2022,12:30:00 PM,DMBP,blue tank 1,light,65,
1/18/2022,12:30:00 PM,DMBP,blue tank 1,light,66,
1/18/2022,12:30:00 PM,DMBP,blue tank 1,light,78,
1/18/2022,12:30:00 PM,DMBP,blue tank 1,light,72,
