User: USER,Path: C:\Program Files\BMG\Omega\User\Data\,Test run no.: 318,,,,,,,,,,
Test name: Lipid Colleen and JB,Date: 10/18/2019,Time: 11:40:16 AM,,,,,,,,,,
,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,
,,,,,,,,,,,,
1. Raw Data (540),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.172,0.172,0.198,0.094,0.101,0.102,0.094,0.092,0.086,0.11,0.132,0.12
B,0.128,0.134,0.153,0.088,0.094,0.095,0.099,0.103,0.103,0.109,0.112,0.101
C,0.117,0.12,0.12,0.094,0.101,0.096,0.098,0.118,0.11,0.109,0.122,0.127
D,0.1,0.101,0.114,0.136,0.154,0.166,0.09,0.108,0.117,,,
E,0.096,0.096,0.098,0.097,0.097,0.132,0.1,0.105,0.107,,,
F,0.09,0.088,0.094,0.092,0.114,0.111,0.136,0.107,0.112,,,
G,0.086,0.087,0.098,0.114,0.168,0.182,0.123,0.109,0.231,,,
H,0.09,0.089,0.094,0.109,0.102,0.101,0.127,0.122,0.129,,,
,,,,,,,,,,,,
2. Blank corrected based on Raw Data (540),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.082,0.082,0.108,0.003,0.011,0.012,0.003,0.001,-0.004,0.019,0.041,0.029
B,0.037,0.044,0.063,-0.002,0.003,0.005,0.008,0.012,0.012,0.019,0.022,0.01
C,0.027,0.029,0.03,0.003,0.01,0.005,0.007,0.027,0.019,0.018,0.031,0.036
D,0.009,0.011,0.023,0.046,0.063,0.075,-0.000366667,0.017,0.026,,,
E,0.005,0.005,0.007,0.006,0.007,0.042,0.009,0.015,0.017,,,
F,-0.000966667,-0.003,0.004,0.002,0.024,0.02,0.045,0.017,0.021,,,
G,,,,0.023,0.077,0.091,0.033,0.019,0.14,,,
H,,,,0.018,0.011,0.01,0.036,0.031,0.038,,,
,,,,,,,,,,,,
3. Average over replicates based on Blank corrected (540),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.09,0.09,0.09,0.009,0.009,0.009,-0.0001,-0.0001,-0.0001,0.03,0.03,0.03
B,0.048,0.048,0.048,0.002,0.002,0.002,0.011,0.011,0.011,0.017,0.017,0.017
C,0.028,0.028,0.028,0.006,0.006,0.006,0.018,0.018,0.018,0.028,0.028,0.028
D,0.014,0.014,0.014,0.061,0.061,0.061,0.014,0.014,0.014,,,
E,0.006,0.006,0.006,0.018,0.018,0.018,0.014,0.014,0.014,,,
F,-3.33E-05,-3.33E-05,-3.33E-05,0.015,0.015,0.015,0.028,0.028,0.028,,,
G,,,,0.064,0.064,0.064,0.064,0.064,0.064,,,
H,,,,0.013,0.013,0.013,0.035,0.035,0.035,,,
