Tag_Number,Origin,Species,Date_Acquired,Date_Fragged,Notes
1,OSA,Pocillopora_acuta,20201106,20201106,too small to be fragged 20210528 but tagged on 20210528
2,OSA,Pocillopora_acuta,20201106,20201106,too small to be fragged 20210528 but tagged on 20210528
3,OSA,Pocillopora_acuta,20201106,20201106,too small to be fragged 20210528 but tagged on 20210528
4,OSA,Pocillopora_acuta,20201106,20201106,too small to be fragged 20210528 but tagged on 20210528
5,OSA,Pocillopora_acuta,20210522,20210528,
6,OSA,Pocillopora_acuta,20210522,20210528,
7,OSA,Pocillopora_acuta,20210522,20210528,
8,OSA,Pocillopora_acuta,20210522,20210528,
9,OSA,Pocillopora_acuta,20210522,20210528,
10,OSA,Pocillopora_acuta,20210522,20210528,
11,OSA,Pocillopora_acuta,20210522,20210528,
12,OSA,Pocillopora_acuta,20210522,20210528,
13,OSA,Pocillopora_acuta,20210522,20210528,
14,OSA,Pocillopora_acuta,20210522,20210528,
15,OSA,Pocillopora_acuta,20210522,20210528,
16,OSA,Pocillopora_acuta,20210522,20210528,
17,OSA,Pocillopora_acuta,20210522,20210528,
18,OSA,Pocillopora_acuta,20210522,20210528,
19,OSA,Pocillopora_acuta,20210522,20210528,
20,OSA,Pocillopora_acuta,20210522,20210528,
21,OSA,Pocillopora_acuta,20210522,20210528,
22,OSA,Pocillopora_acuta,20210522,20210528,
23,OSA,Pocillopora_acuta,20210522,20210528,
24,OSA,Pocillopora_acuta,20210522,20210528,
25,OSA,Pocillopora_acuta,20210522,20210528,
26,OSA,Pocillopora_acuta,20210522,20210528,
27,OSA,Pocillopora_acuta,20210522,20210528,
28,OSA,Pocillopora_acuta,20210522,20210528,
29,OSA,Pocillopora_acuta,20210522,20210528,
30,OSA,Pocillopora_acuta,20210522,20210528,
31,OSA,Pocillopora_acuta,20210522,20210528,
32,OSA,Pocillopora_acuta,20210522,20210528,
33,OSA,Pocillopora_acuta,20210522,20210528,
34,OSA,Pocillopora_acuta,20210522,20210528,
35,OSA,Pocillopora_acuta,20210522,20210528,
36,OSA,Pocillopora_acuta,20210522,20210528,
37,OSA,Pocillopora_acuta,20210522,20210528,
38,OSA,Pocillopora_acuta,20210522,20210528,
39,OSA,Pocillopora_acuta,20210522,20210528,
40,OSA,Pocillopora_acuta,20210522,20210528,
41,OSA,Pocillopora_acuta,20210522,20210528,
44,OSA,Pocillopora_acuta,20210522,20210528,
46,OSA,Pocillopora_acuta,20210522,20210528,
45,OSA,Pocillopora_acuta,20210522,20210614,clipped for 20210614 bailout trial
